Experience,Qualifications,Work Type,Job Title,Role,skills,Responsibilities
0 to 14 Years,BBA,Part-Time,Key Account Manager,Strategic Account Manager,Account management Client relationship Sales strategy Business development Negotiation skills,"Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability."
5 to 11 Years,MCA,Full-Time,Executive Assistant,Personal Assistant,Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality,"Provide high-level administrative support to executives, including calendar management and travel arrangements. Prepare reports, presentations, and correspondence. Act as a gatekeeper and handle confidential information."
2 to 9 Years,MBA,Full-Time,Public Relations Specialist,Crisis Communication Manager,Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication,Develop crisis communication plans and strategies for handling PR crises. Respond to crises and manage public perception and reputation. Provide media training for spokespersons.
1 to 10 Years,MCA,Temporary,Copywriter,SEO Copywriter,"SEO (Search Engine Optimization) Keyword research SEO-friendly content On-page optimization Meta tags SEO tools (e.g., SEMrush)","Write web content optimized for search engines (SEO), including blog posts, product descriptions, and meta tags. Conduct keyword research and on-page SEO optimization. Monitor SEO rankings and traffic."
0 to 12 Years,BCA,Full-Time,Marketing Manager,Product Marketing Manager,Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration,"Promote specific products or services through marketing plans, product messaging, and collaboration with sales teams. Conduct market research and competitor analysis. Create product launch plans."
4 to 9 Years,BA,Temporary,Data Scientist,Machine Learning Engineer,Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation,Develop machine learning models and algorithms for data analysis and prediction. Preprocess and clean data for model training. Evaluate model performance and fine-tune parameters.
1 to 14 Years,BA,Contract,Urban Planner,Transportation Planner,Transportation planning Traffic engineering GIS proficiency Public transportation Project management,Specialize in transportation infrastructure and traffic management. Design efficient transportation networks. Address traffic congestion and improve public transit systems.
3 to 10 Years,B.Tech,Part-Time,Marketing Coordinator,Digital Marketing Coordinator,Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency,"Support digital marketing efforts, including social media management and email marketing. Create and schedule digital content. Analyze digital marketing analytics."
5 to 9 Years,MBA,Full-Time,Civil Engineer,Water Resources Engineer,Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management,"Focus on water-related projects, such as flood control, water supply, and wastewater treatment. Design and manage water resource systems and infrastructure. Address water quality and conservation issues."
0 to 8 Years,MBA,Contract,Architect,Architectural Designer,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations.
4 to 13 Years,M.Tech,Full-Time,Software Engineer,Frontend Developer,"Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization","Design and implement user interfaces for web applications using HTML, CSS, and JavaScript. Collaborate with UX designers to ensure a user-friendly experience. Optimize applications for speed and responsiveness."
4 to 12 Years,M.Tech,Temporary,Database Administrator,Database Analyst,Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,"Analyze and interpret database performance data, identifying areas for improvement. Troubleshoot database issues and optimize query performance. Generate reports and insights from database data."
0 to 8 Years,BBA,Intern,SEO Specialist,Content SEO Strategist,Content strategy SEO content optimization Content marketing Keyword mapping Analytics,"Develop content strategies for SEO, including keyword integration and content optimization. Collaborate with content creators to align content with SEO goals. Track content performance and make improvements."
